"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",0.7,"Very Good","D","VS1",63.4,59,3001,5.58,5.55,3.53
"2",0.41,"Ideal","E","VVS2",61.4,57,1243,4.79,4.76,2.93
"3",0.73,"Ideal","G","VVS2",62.2,55,3183,5.74,5.77,3.58
"4",0.71,"Good","D","SI1",64,56,2641,5.59,5.63,3.59
"5",1.51,"Premium","H","VS2",60.2,60,10951,7.5,7.38,4.48
"6",0.72,"Ideal","J","SI1",62.7,56,1929,5.75,5.67,3.58
"7",0.32,"Ideal","F","VVS1",61.7,56,926,4.4,4.42,2.72
"8",0.43,"Ideal","G","SI1",61.7,55,818,4.89,4.87,3.01
"9",1.51,"Premium","E","VS1",59.5,59,16277,7.54,7.48,4.47
"10",0.7,"Ideal","H","VS1",61.2,55,3185,5.71,5.76,3.51
"11",1.71,"Ideal","J","VS1",62.4,56,10778,7.63,7.59,4.75
"12",0.42,"Ideal","D","VS2",62.6,56,948,4.76,4.8,2.99
"13",1.59,"Premium","G","SI1",62.2,58,9707,7.51,7.45,4.65
"14",0.33,"Very Good","G","SI2",60,56,460,4.52,4.55,2.73
"15",1.5,"Premium","E","VS1",62.5,58,16169,7.28,7.21,4.53
"16",0.5,"Fair","E","SI1",65,58,1176,4.98,4.9,3.21
"17",1.57,"Ideal","G","VVS2",62.3,56,15144,7.48,7.41,4.64
"18",0.4,"Ideal","I","VVS2",61.8,56,970,4.76,4.79,2.95
"19",0.68,"Premium","F","VVS2",61.7,57,2854,5.67,5.64,3.49
"20",1.69,"Very Good","I","VVS2",60.4,59,12394,7.7,7.73,4.66
"21",0.83,"Premium","G","SI1",62.3,58,2863,6.01,5.97,3.73
"22",0.33,"Ideal","E","VVS1",61.7,56,1052,4.48,4.46,2.76
"23",0.9,"Good","D","SI2",63.8,58,3806,6.09,6.13,3.9
"24",0.32,"Ideal","D","SI1",60.9,56,756,4.43,4.4,2.69
"25",0.34,"Ideal","E","VS1",61.2,55,790,4.51,4.54,2.77
"26",0.55,"Ideal","E","VS1",61.7,55,1975,5.27,5.29,3.26
"27",0.41,"Premium","G","VS1",62.7,57,961,4.77,4.74,2.98
"28",1.53,"Very Good","F","VS1",60.3,58,15079,7.48,7.51,4.52
"29",0.45,"Very Good","G","VVS2",61.4,61,1105,4.89,4.95,3.02
"30",0.4,"Ideal","H","SI1",62.6,57,855,4.7,4.66,2.93
"31",0.3,"Ideal","F","VVS1",62.1,55,1114,4.32,4.31,2.68
"32",1.55,"Ideal","I","VS1",61.2,55,10286,7.49,7.47,4.58
"33",1,"Fair","I","I1",64.5,58,2035,6.33,6.1,4.01
"34",1.13,"Ideal","E","SI1",62.2,55,6563,6.66,6.69,4.15
"35",0.58,"Ideal","F","VS1",61.9,54,1865,5.37,5.33,3.31
"36",1.01,"Premium","G","VS1",62.8,59,6618,6.37,6.34,3.99
"37",0.34,"Ideal","E","SI2",61.4,55,454,4.5,4.52,2.77
"38",0.34,"Premium","H","VS2",61.7,60,537,4.47,4.51,2.77
"39",0.77,"Ideal","D","SI1",60.8,57,3251,5.94,5.9,3.6
"40",1.19,"Very Good","G","VVS2",61.8,59,8689,6.75,6.77,4.18
"41",1.29,"Ideal","J","SI1",61.6,57,6327,6.98,7.01,4.32
"42",1.73,"Premium","I","VS1",62.2,59,12674,7.65,7.62,4.75
"43",0.8,"Ideal","F","VS2",62.7,54,3429,5.91,5.95,3.72
"44",1.06,"Premium","G","VS1",62.2,55,6853,6.58,6.51,4.07
"45",1.54,"Premium","G","VS2",61.1,59,12308,7.44,7.4,4.53
"46",1.01,"Ideal","H","SI1",61.2,57,5387,6.42,6.47,3.95
"47",1.6,"Very Good","H","VS1",61.2,58.6,12378,7.48,7.63,4.62
"48",0.7,"Premium","H","VVS1",59.2,60,2840,5.87,5.78,3.45
"49",1.01,"Very Good","E","VS2",60.4,58,6666,6.47,6.51,3.92
